outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,,,,,,,,,,,
1,85.68340184663509,19.814001331917048,22.06933189285244,0.15850017774744643,10,50,160.91280403673747,160.9546229766807,0.0006002302884664356,1.520187911534838e-12,0.17802125878413602,0.010300836908808201,-0.015102856180021718,3,12
2,26.77632829978771,21.68788573667241,24.303103091983925,0.15870197802668778,10,50,22.670677552508412,22.65873660859658,0.0008015285252886185,1.5038316162410176e-13,0.03168286419693229,0.002000331504120342,-1.631711630523114e-05,3,12
3,26.770034290585063,21.693489092460418,24.31192351493818,0.15895955898995873,10,50,0.19217363385352798,0.19221828658630102,0.0061815791921356125,2.543419949797379e-15,0.0029268365676345994,0.00012795879737717274,-2.2309482261562152e-08,3,12
4,26.770030040951905,21.693720370978923,24.31224794042526,0.15896978398278044,10,50,0.005368646761355106,0.005165585308522573,0.23210327909499273,6.073304652575716e-17,0.00293861754861112,0.00012917625802239395,1.3149993094430101e-08,3,12
5,26.770030038497467,21.693710774878262,24.312248588668087,0.15897047613653761,10,50,0.0006810745681104578,0.0011820463486156448,1.0140058166381842,1.6969870090585795e-17,0.0029384616934089287,0.00012913406901309042,1.537631177939147e-08,3,12
6,26.77003003855629,21.693715601894077,24.31225285806755,0.15897044808263752,10,50,9.532720257307102e-05,0.0012222555509699645,0.9809920099154261,1.348679205110285e-17,0.0029386614475313236,0.00012918465007948304,1.543892835798033e-08,3,12
7,26.770030038539712,21.69370588162711,24.312241181131547,0.15897034218227976,10,50,0.00012126238947193623,0.0012757387429627371,0.9398133085198103,1.2339774123314164e-17,0.0029386238864874204,0.0001291766702424116,1.5421875332322088e-08,3,12
8,26.7700300385569,21.693714149529967,24.312244598518685,0.15897004125147568,10,50,0.00042705446803585905,0.0014044827759404433,0.8538381842609815,1.864865105387127e-17,0.0029387450629537607,0.00012920606398747996,1.5438835987424682e-08,3,12
9,26.77003003856288,21.693723833432657,24.312254312272216,0.15897003486003092,10,50,0.00011086957883909947,0.0011992620896734783,0.9998197821686088,9.986703999862853e-18,0.0029386761779003527,0.00012918739483263334,1.544464467428952e-08,3,12
10,26.77003003855346,21.69372461602235,24.31225902605847,0.158970272698286,10,50,0.000285444232766495,0.0011074642649651157,1.0825111145694797,1.6703554756809094e-17,0.0029385784953500057,0.00012916293138373223,1.5436164346738224e-08,3,12
11,26.770030038560577,21.693727361388014,24.312257575546955,0.15897001764429905,10,50,0.0003372536463292745,0.0013670802068481921,0.8771583750975248,1.0922123691683775e-17,0.0029387196827297163,0.0001291994281274812,1.544159999866679e-08,3,12
12,26.770030038550782,21.693723908908133,24.312257024349318,0.1589701960214357,10,50,0.0002434002792341697,0.0011327150415909048,1.0583829664384476,1.146203232629303e-17,0.00293858036203634,0.0001291634037855876,1.5433368361073008e-08,3,12
13,26.770030038547482,21.693705230719686,24.31224268400031,0.15897046975809398,10,50,0.0005040381157336647,0.001166917978705126,1.0271952816749303,1.4466581986293704e-17,0.0029384861304654394,0.00012914013606442974,1.5429012734102798e-08,3,12
14,26.770030038560602,21.69372157108215,24.312255984676472,0.1589702733037861,10,50,0.00038135218661130784,0.0013426767415985628,0.8931437329480211,1.374248615066019e-17,0.0029387465386420727,0.0001292063368146678,1.5443532674908056e-08,3,12
15,26.77003003855629,21.693727021816287,24.31226033342054,0.15897020479911855,10,50,0.00014000454132302527,0.0012444232662994093,0.9635463774755593,1.2692548483136355e-17,0.0029386785209524653,0.00012918905289070726,1.543866190445442e-08,3,12
16,26.77003003855851,21.6937240502576,24.31225476821619,0.15897005047179547,10,50,0.00017286059357398618,0.001290033376373038,0.9294661548693076,1.419146074497937e-17,0.0029386728102252222,0.00012918697484639446,1.5440257072896202e-08,3,12
17,26.770030038559074,21.693725413184293,24.312255030583948,0.1589699833719176,10,50,9.3483828013895e-05,0.0012363934359486148,0.9697764477342601,1.4018731373462236e-17,0.002938664753288571,0.00012918491460392316,1.543987337981889e-08,3,12
18,26.770030038549596,21.693718872971576,24.31224926847467,0.15897003675910443,10,50,0.00011929994895094931,0.0011846805868200086,1.0119979725898558,1.3633603676132176e-17,0.002938602680273763,0.00012916918239099583,1.543129002357091e-08,3,12
