base_label,c,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,cycle_start_objective,pre_objective,post_objective,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
initial,3,200,3,17587828.444175635,538032170.5800834,538032105.6876527,30.59116549196598,30.59116180234444,1304719421.6268275,7447554252.639695,897863481.1948777,274.8284290828988,274.82842908289877,486.2809457871724,0.5849665694600595
initial,4,20,1,1540574.2553971887,3825246852784.699,3825246113765.885,2483000.6339411917,2483000.154237723,3350168.410825496,1318188279851.335,1427296706206.2122,1078.8856940099347,1078.8856940099347,1167.5461923263433,1.7612275182050188
initial,4,20,2,3825246113765.885,20392829160376.582,20392825685603.023,5.331115581554101,5.331114673175018,1427296706206.2122,50650324447235.93,45249787207601.19,568.6036149921681,568.6036149921681,1636.8424973788108,2.5844161462416744
initial,4,20,3,20392825685603.023,711443753976.0991,711443487687.358,0.03488696294199023,0.034886949884028316,45249787207601.19,210047414721.70557,226867152192.36,518.8791132543192,518.8791132543192,1005.7549255941528,1.79189618856916
initial,4,20,4,711443487687.358,728694176780.4387,728693956407.3141,1.0242474481692936,1.0242471384143679,226867152192.36,41935203561.00711,39844843634.2938,195.0635545878213,195.0635545878213,563.6393032958497,0.942571884830928
initial,4,50,1,1540574.2553971887,163820517966.62936,163820490227.54263,106337.30726883619,106337.28926315639,3350168.410825496,16250868397.310465,10568862961.424967,77.43439887169195,77.43439887169197,458.7391268994967,0.6299466632777062
initial,4,50,2,163820490227.54263,26408355583.243847,26408356429.998318,0.1612030066969235,0.16120301186571814,10568862961.424967,237453701.2184319,1058764530.6305339,111.28553641220697,111.28553641220695,489.1546299184246,0.539360146587526
initial,4,50,3,26408356429.998318,6413596926.004773,6413595620.969008,0.24286240391391073,0.24286235449638002,1058764530.6305339,2205865035.342267,276790198.269738,124.69437733429982,124.69437733429982,504.6942105019275,0.4836987288083799
initial,4,50,4,6413595620.969008,10338114241.679827,10338113991.902628,1.6119061525924323,1.6119061136474764,276790198.269738,530628221.13496476,199143926.40162906,195.939393477969,195.93939347796902,525.459942544951,0.4223585188349018
initial,4,100,1,1540574.2553971887,41432138697.646614,41432142618.61455,26893.957595678916,26893.960140812927,3350168.410825496,6884077287.544553,2888435816.5117106,132.46941864417445,132.46941864417445,463.9033448886363,0.6818752949911947
initial,4,100,2,41432142618.61455,4009055593.8075724,4009056440.1911416,0.09676196644501779,0.09676198687320509,2888435816.5117106,17644212.930535823,981447090.0653876,190.66129152358627,190.6612915235863,480.99696196978437,0.6107606220392588
initial,4,100,3,4009056440.1911416,1104186111.2628832,1104186218.7827952,0.27542293996994427,0.27542296678920053,981447090.0653876,5335718475.177047,647710944.5931504,217.32473455107652,217.32473455107652,493.3682533726228,0.5440413036940608
initial,4,100,4,1104186218.7827952,311768872.0333277,311768877.90381795,0.2823517145296448,0.2823517198462211,647710944.5931504,1509889893.05656,298907189.0846412,315.2424747723953,315.2424747723953,507.3491166229067,0.49323971691088997
initial,4,200,1,1540574.2553971887,8320462259.266491,8320463549.928554,5400.88361863565,5400.884456415496,3350168.410825496,6495381365.568889,2106431054.1518834,182.33958333741475,182.33958333741478,468.9959544689058,0.7259943559385593
initial,4,200,2,8320463549.928554,17588182.106174093,17587828.444175635,0.0021138464222134738,0.0021138039171299124,2106431054.1518834,16393154.130531894,1304719421.6268275,252.6203584028403,252.6203584028403,478.4846327780471,0.6774423817790433
initial,4,200,3,17587828.444175635,538032170.5800834,538032105.6876527,30.59116549196598,30.59116180234444,1304719421.6268275,7447554252.639695,897863481.1948777,274.8284290828988,274.82842908289877,486.2809457871724,0.5849665694600595
initial,4,200,4,538032105.6876527,1033003154.0649496,1033003135.4365761,1.9199656361485715,1.9199656015254083,897863481.1948777,1688306357.757259,486972107.2141962,378.4153046440894,378.4153046440894,496.96178672978374,0.5491852205465013
initial,5,20,1,1540574.2553971887,3825246852784.699,3825246113765.885,2483000.6339411917,2483000.154237723,3350168.410825496,1318188279851.335,1427296706206.2122,1078.8856940099347,1078.8856940099347,1167.5461923263433,1.7612275182050188
initial,5,20,2,3825246113765.885,20392829160376.582,20392825685603.023,5.331115581554101,5.331114673175018,1427296706206.2122,50650324447235.93,45249787207601.19,568.6036149921681,568.6036149921681,1636.8424973788108,2.5844161462416744
initial,5,20,3,20392825685603.023,711443753976.0991,711443487687.358,0.03488696294199023,0.034886949884028316,45249787207601.19,210047414721.70557,226867152192.36,518.8791132543192,518.8791132543192,1005.7549255941528,1.79189618856916
initial,5,20,4,711443487687.358,728694176780.4387,728693956407.3141,1.0242474481692936,1.0242471384143679,226867152192.36,41935203561.00711,39844843634.2938,195.0635545878213,195.0635545878213,563.6393032958497,0.942571884830928
initial,5,20,5,728693956407.3141,229279877835.9673,229279706002.49863,0.31464495597903375,0.3146447201688323,39844843634.2938,35944102857.209206,16843161692.336924,377.00787030547275,377.00787030547275,438.3068896401937,0.7850038185056178
initial,5,50,1,1540574.2553971887,163820517966.62936,163820490227.54263,106337.30726883619,106337.28926315639,3350168.410825496,16250868397.310465,10568862961.424967,77.43439887169195,77.43439887169197,458.7391268994967,0.6299466632777062
initial,5,50,2,163820490227.54263,26408355583.243847,26408356429.998318,0.1612030066969235,0.16120301186571814,10568862961.424967,237453701.2184319,1058764530.6305339,111.28553641220697,111.28553641220695,489.1546299184246,0.539360146587526
initial,5,50,3,26408356429.998318,6413596926.004773,6413595620.969008,0.24286240391391073,0.24286235449638002,1058764530.6305339,2205865035.342267,276790198.269738,124.69437733429982,124.69437733429982,504.6942105019275,0.4836987288083799
initial,5,50,4,6413595620.969008,10338114241.679827,10338113991.902628,1.6119061525924323,1.6119061136474764,276790198.269738,530628221.13496476,199143926.40162906,195.939393477969,195.93939347796902,525.459942544951,0.4223585188349018
initial,5,50,5,10338113991.902628,16297650245.970652,16297649311.802877,1.5764626177207812,1.5764625273592534,199143926.40162906,3855360624.430219,38832389.48202884,249.20454769071216,249.20454769071216,529.4606737957105,0.3977789389977822
initial,5,100,1,1540574.2553971887,41432138697.646614,41432142618.61455,26893.957595678916,26893.960140812927,3350168.410825496,6884077287.544553,2888435816.5117106,132.46941864417445,132.46941864417445,463.9033448886363,0.6818752949911947
initial,5,100,2,41432142618.61455,4009055593.8075724,4009056440.1911416,0.09676196644501779,0.09676198687320509,2888435816.5117106,17644212.930535823,981447090.0653876,190.66129152358627,190.6612915235863,480.99696196978437,0.6107606220392588
initial,5,100,3,4009056440.1911416,1104186111.2628832,1104186218.7827952,0.27542293996994427,0.27542296678920053,981447090.0653876,5335718475.177047,647710944.5931504,217.32473455107652,217.32473455107652,493.3682533726228,0.5440413036940608
initial,5,100,4,1104186218.7827952,311768872.0333277,311768877.90381795,0.2823517145296448,0.2823517198462211,647710944.5931504,1509889893.05656,298907189.0846412,315.2424747723953,315.2424747723953,507.3491166229067,0.49323971691088997
initial,5,100,5,311768877.90381795,624410845.7673247,624410886.1494727,2.00280043975383,2.0028005692797413,298907189.0846412,10540463063.43931,287627922.0721931,391.6890453419312,391.68904534193126,514.4890813992318,0.4470639035214543
initial,5,200,1,1540574.2553971887,8320462259.266491,8320463549.928554,5400.88361863565,5400.884456415496,3350168.410825496,6495381365.568889,2106431054.1518834,182.33958333741475,182.33958333741478,468.9959544689058,0.7259943559385593
initial,5,200,2,8320463549.928554,17588182.106174093,17587828.444175635,0.0021138464222134738,0.0021138039171299124,2106431054.1518834,16393154.130531894,1304719421.6268275,252.6203584028403,252.6203584028403,478.4846327780471,0.6774423817790433
initial,5,200,3,17587828.444175635,538032170.5800834,538032105.6876527,30.59116549196598,30.59116180234444,1304719421.6268275,7447554252.639695,897863481.1948777,274.8284290828988,274.82842908289877,486.2809457871724,0.5849665694600595
initial,5,200,4,538032105.6876527,1033003154.0649496,1033003135.4365761,1.9199656361485715,1.9199656015254083,897863481.1948777,1688306357.757259,486972107.2141962,378.4153046440894,378.4153046440894,496.96178672978374,0.5491852205465013
initial,5,200,5,1033003135.4365761,2252778722.851361,2252778704.760224,2.1808053098495903,2.180805292336442,486972107.2141962,13630562121.994537,431627967.9668263,449.95981855450793,449.9598185545079,505.96554384857774,0.4730016786358581
