outer,r4_objective,r4_xy_rel_to_direct,r6_objective,r6_xy_rel_to_direct,objective_diff_r6_minus_r4,xy_rel_diff_r6_minus_r4
0,3350168.410825497,1.2312708232912002,3350168.410825497,1.2312708232912002,0.0,0.0
1,647841097.9864175,0.5789266398385688,37366004.38178808,0.3762269494643943,-610475093.6046294,-0.20269969037417457
2,12284832.280059624,0.342306544698695,3726397.7873316356,0.2906384185297621,-8558434.49272799,-0.051668126168932904
3,197004.43235184439,0.2688289634500549,9760000.175754221,0.3614745349437717,9562995.743402377,0.09264557149371677
4,2314.0867532301313,0.21132103538590571,13070465.186960325,0.16860718976068154,13068151.100207094,-0.04271384562522418
5,177.48700096648895,0.15595220458618597,39812.318335256175,0.0869737947384854,39634.83133428969,-0.06897840984770057
6,4615.7227920368005,0.1296074675406142,141.05956675524905,0.04026483060528398,-4474.663225281552,-0.08934263693533022
7,52660.77927466069,0.08659358083732047,2377.1974328920887,0.017520806807394932,-50283.581841768595,-0.06907277402992554
8,23665.642306161586,0.09718061764568432,5554.415771244476,0.006282961268172011,-18111.22653491711,-0.0908976563775123
9,1702037.2063375807,0.07711042901050752,48730.023715058116,0.0039675500364995935,-1653307.1826225226,-0.07314287897400792
10,10767.869762732706,0.08686341687390887,6698.266549459422,0.0014585863715581224,-4069.6032132732835,-0.08540483050235076
11,783.8981776540719,0.039074685300236556,1566.6990604100288,0.0023943917245777347,782.8008827559569,-0.03668029357565882
12,30281.256154506722,0.03103590461487547,1162.408811928408,0.0023905735719326193,-29118.847342578312,-0.02864533104294285
13,6250466919.573179,1.2047056008747499,315.68331838871285,0.0017996124324733025,-6250466603.889861,-1.2029059884422766
14,439594404.10838485,1.425849301441323,108569.89318615638,0.03145967848371986,-439485834.2151987,-1.3943896229576032
15,1042243355.4937445,0.9839576722227135,4287.746883257168,0.028765473810342074,-1042239067.7468612,-0.9551921984123714
16,16419236.249523206,0.07841507625842145,2120.0576550751407,0.008446006135947379,-16417116.19186813,-0.06996907012247407
17,83506.36891222626,0.01703394695238073,2253.332906826977,0.006616255295117598,-81253.03600539928,-0.010417691657263133
18,137.41497805632824,0.011955154640880808,897.116257416811,0.0006820182430143315,759.7012793604828,-0.011273136397866475
19,109.57278813537108,0.00625139975406041,67794.43494609828,0.014383769258797089,67684.86215796291,0.00813236950473668
20,587.6207939734431,0.0036237093205622275,1946.7012034680488,0.010818248960540747,1359.0804094946056,0.00719453963997852
21,,,2318.254470819157,0.007660597957207127,,
22,,,226.78837122398085,0.003766596808738168,,
23,,,262468.40273777256,0.009725882528575374,,
24,,,10258.941690046648,0.04954674935161906,,
25,,,230628.57216360216,0.05657520597610804,,
26,,,73640.20242381975,0.021824483197323663,,
27,,,148.86504274085993,0.013437358382094564,,
28,,,1270.5650300297864,0.009666624695571991,,
29,,,2781.73096857941,0.003220918864971665,,
30,,,23316.8871926179,0.005325173157954818,,
31,,,3320.172041177284,0.004646327482967349,,
32,,,2469.637485051787,0.015465270837509105,,
33,,,572.1944754455048,0.006878431780769622,,
34,,,4751.756243002259,0.004512120704615531,,
35,,,129.24328965015866,0.010929417379182228,,
36,,,27343.409766937013,0.007356729463342484,,
37,,,201.29142482828505,0.0008990632860846619,,
38,,,2375.997069181484,0.0010007622638663466,,
39,,,208.87374743267793,0.012157424506668651,,
40,,,5239.252736574324,0.010192884960767616,,
41,,,559.6887522970561,0.006387046944314617,,
42,,,449.27705701709834,0.004063630170333875,,
43,,,189.09894308405126,0.005880710788524715,,
44,,,2310.832268250313,0.008800020913161408,,
45,,,591.8194627752663,0.00494786188039842,,
46,,,378882.2605688667,0.012156441216408029,,
47,,,1384.4422174152905,0.00827350478063045,,
48,,,3418.853080141455,0.018635473420782853,,
49,,,476056093.2602812,1.908686170769908,,
50,,,41707507.38026907,0.29600037174304633,,
