inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,0.6411029031067511,41432138697.646614,41432142617.42472,6884077287.544553,2596326924.097556,1694173602.0436845,467.2197165300946,435.81115241351586,116.11815946135363,116.11815946135363,116.11815946135363,1.0,fixed,1,3,100,message_conditioned_information
2,0.46398371690175244,3047164372.62632,3047165018.6203556,120952678.47309758,295467789.2800834,-606685532.7737883,510.99677337613485,552.5497714913677,227.30208292090975,227.3020829209097,227.3020829209097,1.0,fixed,1,3,100,message_conditioned_information
3,0.3491090445483019,775716252.7548298,775716284.6566789,3243358833.966877,37366004.38178808,-864787317.6720836,547.0070961955665,598.5306207153338,233.48313925259228,233.48313925259228,233.48313925259228,1.0,fixed,1,3,100,message_conditioned_information
1,1.4683951206028596,2134551622.6473608,2134549927.0026097,12254155.139627777,117027864.83662562,-145100206.18881083,141.37175046373778,197.0171531946235,154.31402125892254,154.3140212589226,154.3140212589226,1.0,fixed,2,3,100,message_conditioned_information
2,1.0255789580894341,7500711580.562057,7500712086.448375,963271952.1950953,28013234.474913772,-234114836.55052266,114.67886801126687,272.6259780975149,181.388844258306,181.388844258306,181.388844258306,1.0,fixed,2,3,100,message_conditioned_information
3,0.7871281629297646,5763188244.593568,5763188593.477505,2248468817.070812,3726397.7873316356,-258401673.2381048,81.31468384363622,200.86182915052512,194.73731962354387,194.7373196235439,194.7373196235439,1.0,fixed,2,3,100,message_conditioned_information
1,2.4952454510507995,48672607701.09969,48672621358.1311,148463979.7121251,66553547.10480716,66494724.55725318,302.55454647435806,659.977373011962,476.3092651525269,476.309265152527,476.309265152527,1.0,fixed,3,3,100,message_conditioned_information
2,1.3310537868837162,38302531305.15304,38302535138.81875,172521981.2988929,73341106.54609364,73282283.99853967,175.60334425009225,620.1328895626829,465.9196041964055,465.91960419640543,465.91960419640543,1.0,fixed,3,3,100,message_conditioned_information
3,1.1993750225662911,4955665294.252416,4955664496.9093075,3152202.194391523,9760000.175754221,9701177.628200244,55.58228701223158,543.1512302995013,502.3602281203283,502.36022812032826,502.36022812032826,1.0,fixed,3,3,100,message_conditioned_information
1,0.8648557752134604,1386909400.9266245,1386909481.767625,37083.097092165,315973.2807830208,-64067433.33846073,65.43262604349293,31.288611942944847,41.94419969795303,41.94419969795303,41.94419969795303,1.0,fixed,4,3,100,message_conditioned_information
2,0.6174108514490447,29478031.240667187,29477989.94079351,3619345.6770871514,9616936.458106292,-54766470.161137454,100.03994008763469,125.71800268539718,54.18021411334726,54.18021411334728,54.18021411334728,1.0,fixed,4,3,100,message_conditioned_information
3,0.5110915881511479,453351465.7836916,453351522.23238695,16114862.891232777,13070465.186960325,-51312941.432283424,108.1731596400612,107.64138338145261,62.4935374276761,62.493537427676095,62.493537427676095,1.0,fixed,4,3,100,message_conditioned_information
1,0.9376234481472232,120291473.15007795,120291417.97256462,1804.8579618341464,683.4023981713635,-108550.21735761274,6.624996563668535,3.6656160578725934,8.232860214505815,8.232860214505815,8.232860214505815,1.0,fixed,5,3,100,message_conditioned_information
2,0.6939445720753704,35755062.04935193,35755069.7766084,6343.542133069886,11781.699690710122,-97451.92006507398,27.152746988401734,17.66257248356112,11.204304584279669,11.204304584279669,11.204304584279669,1.0,fixed,5,3,100,message_conditioned_information
3,0.518780308880028,167491194.0839788,167491225.2402209,35312.11029076848,39812.318335256175,-69421.30142052793,42.43420418206253,41.878624859266054,5.510860731060795,5.510860731060795,5.510860731060795,1.0,fixed,5,3,100,message_conditioned_information
1,0.8788979179118478,455459562.23724943,455459665.2834049,19489.321460887557,19565.41295063507,19381.916781430886,5.49777706894637,1.7670866404004848,6.514266784305093,6.514266784305093,6.514266784305093,1.0,fixed,6,3,100,message_conditioned_information
2,0.6441770119762195,12476018.209919952,12476007.287839731,114.75992540581336,116.05091238050309,-67.445256823682,16.077623802345904,14.430638000280554,2.921330199274346,2.921330199274346,2.921330199274346,1.0,fixed,6,3,100,message_conditioned_information
3,0.46332637012984434,13185061.591374753,13185055.334789293,135.79570810371942,141.05956675524905,-42.43660244893604,24.2493102265095,19.00333273336302,6.687950887295237,6.687950887295238,6.687950887295238,1.0,fixed,6,3,100,message_conditioned_information
1,0.8187145396989808,274560980.97376925,274561001.03104454,7935.755159202077,7929.660889811469,7816.606782499961,3.9666184470327743,4.153462023672014,6.205692057394908,6.205692057394909,6.205692057394909,1.0,fixed,7,3,100,message_conditioned_information
2,0.6205647507319528,6652526.326462502,6652522.23065968,115.18073274868654,113.74738711824476,0.6932798067361716,7.948309636051899,12.245677010178499,6.2184125053742125,6.218412505374213,6.218412505374213,1.0,fixed,7,3,100,message_conditioned_information
