inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,17,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,17,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,17,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,18,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,18,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,18,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,19,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,19,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,19,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,20,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,20,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,20,3,100,message_conditioned_information
